Journal,Title,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Role of the spinal canal compliance in regulating posture-related cerebrospinal fluid hydrodynamics in humans,https://doi.org/10.1002/jmri.27505
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Alteration of single-subject gray matter networks in major depressed patients with suicidality,https://doi.org/10.1002/jmri.27499
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Alteration of single-subject gray matter networks in major depressed patients with suicidality”,https://doi.org/10.1002/jmri.27544
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Noninvasive Assessment of O(6)-Methylguanine-DNA Methyltransferase Promoter Methylation Status in World Health Organization Grade II–IV Glioma Using Histogram Analysis of Inflow-Based Vascular-Space-Occupancy Combined with Structural Magnetic Resonance Imaging,https://doi.org/10.1002/jmri.27514
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Noninvasive Assessment of MGMT Promoter Methylation Status in World Health Organization Grade II-IV Glioma Using Histogram Analysis of Inflow-Based Vascular-Space Occupancy Combined with Structural MR Imaging”,https://doi.org/10.1002/jmri.27594
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Dynamic Changes in Functional Network Connectivity Involving Amyotrophic Lateral Sclerosis and Its Correlation With Disease Severity,https://doi.org/10.1002/jmri.27521
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Dynamic Changes in Functional Network Connectivity Involving Amyotrophic Lateral Sclerosis and Its Correlation to Disease Severity”,https://doi.org/10.1002/jmri.27518
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Functional Tumor Volume by Fast Dynamic Contrast-Enhanced MRI for Predicting Neoadjuvant Systemic Therapy Response in Triple-Negative Breast Cancer,https://doi.org/10.1002/jmri.27557
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Functional Tumor Volume by Fast Dynamic Contrast-Enhanced MRI for Predicting Neoadjuvant Systemic Therapy Response in Triple-Negative Breast Cancer”,https://doi.org/10.1002/jmri.27669
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Three-Dimensional Volumetric Magnetic Resonance Imaging Detects Early Alterations of the Brain Growth in Fetuses With Congenital Heart Disease,https://doi.org/10.1002/jmri.27526
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “3D Volumetric MRI Detects Early Alterations of the Brain Growth in Fetuses with Congenital Heart Disease”,https://doi.org/10.1002/jmri.27522
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Cine MRI detects elevated left heart pressure in pulmonary hypertension,https://doi.org/10.1002/jmri.27504
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Noninvasive oxygenation assessment after acute myocardial infarction with breathing maneuvers-induced oxygenation-sensitive magnetic resonance imaging,https://doi.org/10.1002/jmri.27509
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Texture Analysis of Native T1 Images as a Novel Method for Noninvasive Assessment of Uremic Cardiomyopathy,https://doi.org/10.1002/jmri.27529
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial on “Texture Analysis of Native T1 Images as a Novel Method for Non-Invasive Assessment of Myocardial Fibrosis in Dialysis Patients”,https://doi.org/10.1002/jmri.27523
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Improved Quantification of Myocardium Scar in Late Gadolinium Enhancement Images: Deep Learning Based Image Fusion Approach,https://doi.org/10.1002/jmri.27555
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Improved Quantification of Myocardium Scar in Late Gadolinium Enhancement Images: Deep Learning Based Image Fusion Approach”,https://doi.org/10.1002/jmri.27619
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Maintaining Image Quality While Reducing Acoustic Noise and Switched Gradient Field Exposure During Lumbar MRI,https://doi.org/10.1002/jmri.27527
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Maintaining Image Quality While Reducing Acoustic Noise and Switched Gradient Field Exposure During Lumbar Magnetic Resonance Imaging”,https://doi.org/10.1002/jmri.27517
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Feeling the price tag of magnetic resonance imaging claustrophobia,https://doi.org/10.1002/jmri.27512
