Journal,Category,Title,First Published,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “A Deep Learning Approach to Diagnostic Classification of Prostate Cancer Using Pathology-Radiology Fusion”,04 April 2021,https://doi.org/10.1002/jmri.27630
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Technical,Performance of Deep Learning and Genitourinary Radiologists in Detection of Prostate Cancer Using 3-T Multiparametric Magnetic Resonance Imaging,12 March 2021,https://doi.org/10.1002/jmri.27595
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Could AI Assistance Close the PI-RADS Variability Gap?,28 May 2021,https://doi.org/10.1002/jmri.27696
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Musculoskeletal,Measurement of Three-Dimensional Internal Dynamic Strains in the Intervertebral Disc of the Lumbar Spine With Mechanical Loading and Golden-Angle Radial Sparse Parallel-Magnetic Resonance Imaging,13 March 2021,https://doi.org/10.1002/jmri.27591
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Musculoskeletal,Multiparametric MRI-Based Radiomics Approaches for Preoperative Prediction of EGFR Mutation Status in Spinal Bone Metastases in Patients with Lung Adenocarcinoma,27 February 2021,https://doi.org/10.1002/jmri.27579
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Abdomen,Pathological assessment of chronic kidney disease with DWI: Is there an added value for diffusion kurtosis imaging?,26 February 2021,https://doi.org/10.1002/jmri.27569
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Abdomen,LI-RADS Major Features on MRI for Diagnosing Hepatocellular Carcinoma: A Systematic Review and Meta-Analysis,27 February 2021,https://doi.org/10.1002/jmri.27570
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Abdomen,Comparison of MRI and CT for the Prediction of Microvascular Invasion in Solitary Hepatocellular Carcinoma Based on a Non-Radiomics and Radiomics Method: Which Imaging Modality Is Better?,23 February 2021,https://doi.org/10.1002/jmri.27575
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Abdomen,"Assessment of Repeatability, Reproducibility, and Performances of T2 Mapping-Based Radiomics Features: A Comparative Study",16 February 2021,https://doi.org/10.1002/jmri.27558
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,"Editorial for “Assessment of Repeatability, Reproducibility, and Performances of T2-Mapping-Based Radiomics Features: A Comparative Study”",26 February 2021,https://doi.org/10.1002/jmri.27582
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,Predicting Neuroimaging Biomarkers for Antidepressant Selection in Early Treatment of Depression,26 February 2021,https://doi.org/10.1002/jmri.27577
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,Progression of Plaque Burden of Intracranial Atherosclerotic Plaque Predicts Recurrent Stroke/Transient Ischemic Attack: A Pilot Follow-Up Study Using Higher-Resolution MRI,18 February 2021,https://doi.org/10.1002/jmri.27561
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,The Nomogram of MRI-based Radiomics with Complementary Visual Features by Machine Learning Improves Stratification of Glioblastoma Patients: A Multicenter Study,08 February 2021,https://doi.org/10.1002/jmri.27536
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “The nomogram of MRI-based radiomics with complementary visual features by machine learning improves stratification of glioblastoma patients: A multicenter study”,09 March 2021,https://doi.org/10.1002/jmri.27572
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,Altered Complexity of Spontaneous Brain Activity in Schizophrenia and Bipolar Disorder Patients,11 February 2021,https://doi.org/10.1002/jmri.27541
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Altered Complexity of Spontaneous Brain Activity in Schizophrenia and Bipolar Disorder Patients”,13 May 2021,https://doi.org/10.1002/jmri.27672
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,Brain Abscess Apparent Diffusion Coefficient is Associated With Microbial Culture Yields,17 February 2021,https://doi.org/10.1002/jmri.27563
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Apparent Diffusion Coefficient of Brain Abscesses Predicts Microbial Culture Yields”,26 March 2021,https://doi.org/10.1002/jmri.27617
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Neuro,Reliability of Changes in Brain Volume Determined by Longitudinal Voxel-Based Morphometry,24 February 2021,https://doi.org/10.1002/jmri.27568
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Reliability of Changes in Brain Volume Determined by Longitudinal Voxel-Based Morphometry”,11 May 2021,https://doi.org/10.1002/jmri.27683
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Thoracic,Repeatability of dynamic 3D phase-resolved functional lung (PREFUL) ventilation MR Imaging in patients with chronic obstructive pulmonary disease and healthy volunteers,09 February 2021,https://doi.org/10.1002/jmri.27543
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Repeatability of Dynamic 3D Phase-Resolved Functional Lung (PREFUL) Ventilation MR Imaging in Patients With Chronic Obstructive Pulmonary Disease and Healthy Volunteers”,16 June 2021,https://doi.org/10.1002/jmri.27786
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Breast,Noncontrast-Enhanced MR-Based Conductivity Imaging for Breast Cancer Detection and Lesion Differentiation,24 April 2021,https://doi.org/10.1002/jmri.27655
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Vascular,Comparison of Carotid Plaque Characteristics Between Men and Women Using Magnetic Resonance Vessel Wall Imaging: A Chinese Atherosclerosis Risk Evaluation Study,27 February 2021,https://doi.org/10.1002/jmri.27576
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Vascular,Association of Type 2 Diabetes Mellitus and Glycemic Control With Intracranial Plaque Characteristics in Patients With Acute Ischemic Stroke,31 March 2021,https://doi.org/10.1002/jmri.27614
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Association of Type 2 Diabetes Mellitus and Glycemic Control With Intracranial Plaque Characteristics in Patients With Acute Ischemic Stroke”,27 May 2021,https://doi.org/10.1002/jmri.27739
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Case Report,Transient Signal Intensity Enhancement in the Amniotic Fluid After Administration of a Macrocyclic Gadolinium Chelate to a Pregnant Woman,26 March 2021,https://doi.org/10.1002/jmri.27607
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Erratum,Erratum,20 April 2021,https://doi.org/10.1002/jmri.27653
