Journal,Category,Title,First Published,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Abdomen,Free-Breathing Abdominal Magnetic Resonance Fingerprinting Using a Pilot Tone Navigator,05 May 2021,https://doi.org/10.1002/jmri.27673
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Abdomen,Use of Three-Dimensional Arterial Spin Labeling to Evaluate Renal Perfusion in Patients With Chronic Kidney Disease,26 March 2021,https://doi.org/10.1002/jmri.27609
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Use of Three-Dimensional Arterial Spin Labeling to Evaluate Renal Perfusion in Patients with Chronic Kidney Disease”,06 May 2021,https://doi.org/10.1002/jmri.27686
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Abdomen,Limits of Fat Quantification in the Presence of Iron Overload,29 March 2021,https://doi.org/10.1002/jmri.27611
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Limits of Fat Quantification With Chemical Shift Encoded”,20 April 2021,https://doi.org/10.1002/jmri.27643
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Abdomen,Abbreviated Magnetic Resonance Imaging With Breath-Hold Three-Dimensional Magnetic Resonance Cholangiopancreatography: Assessment of Malignant Risk of Pancreatic Intraductal Papillary Mucinous Neoplasm,28 March 2021,https://doi.org/10.1002/jmri.27612
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Abbreviated Magnetic Resonance Imaging With Breath-Hold 3-Dimensional Magnetic Resonance Cholangiopancreatography: Assessment of Malignant Risks of Pancreatic Intraductal Papillary Mucinous Neoplasms”,26 March 2021,https://doi.org/10.1002/jmri.27616
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Technical,Cross-Scanner Harmonization of Neuromelanin-Sensitive MRI for Multisite Studies,06 May 2021,https://doi.org/10.1002/jmri.27679
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Pelvis,Amide Proton Transfer-Weighted Imaging and Multiple Models Diffusion-Weighted Imaging Facilitates Preoperative Risk Stratification of Early-Stage Endometrial Carcinoma,15 May 2021,https://doi.org/10.1002/jmri.27684
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Pelvis,Detecting Muscle Invasion of Bladder Cancer Using a Proposed Magnetic Resonance Imaging Strategy,17 May 2021,https://doi.org/10.1002/jmri.27676
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Pelvis,Multiparametric Magnetic Resonance Imaging-Based Peritumoral Radiomics for Preoperative Prediction of the Presence of Extracapsular Extension With Prostate Cancer,10 May 2021,https://doi.org/10.1002/jmri.27678
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Multiparametric MRI-Based Peritumoral Radiomics for Preoperative Prediction of the Presence of Extracapsular Extension With Prostate Cancer”,28 May 2021,https://doi.org/10.1002/jmri.27747
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Cardiac,Reference Values for Ventricular Volumes and Pulmonary Artery Dimensions in Pediatric Patients with Transposition of the Great Arteries After Arterial Switch Operation,21 March 2021,https://doi.org/10.1002/jmri.27602
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Cardiac,Visualization of Human Aortic Valve Dynamics Using Magnetic Resonance Imaging with Sub-Millisecond Temporal Resolution,24 March 2021,https://doi.org/10.1002/jmri.27603
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial on “Visualization of Human Aortic Valve Dynamics Using MRI With Sub-Millisecond Temporal Resolution”,13 May 2021,https://doi.org/10.1002/jmri.27695
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Cardiac,Impact of Wideband Late Gadolinium Enhancement Cardiac Magnetic Resonance Imaging on Device-Related Artifacts in Different Implantable Cardioverter-Defibrillator Types,19 March 2021,https://doi.org/10.1002/jmri.27608
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Impact of Wideband Late Gadolinium Enhancement Cardiac Magnetic Resonance Imaging on Device-Related Artifacts in Different Implantable Cardioverter-Defibrillator Types”,13 June 2021,https://doi.org/10.1002/jmri.27777
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Cardiac,Diagnostic Accuracy of Spiral Whole-Heart Quantitative Adenosine Stress Cardiovascular Magnetic Resonance With Motion Compensated L1-SPIRIT,06 April 2021,https://doi.org/10.1002/jmri.27620
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Diagnostic Accuracy of Spiral Whole-Heart Quantitative Adenosine Stress Cardiac Magnetic Resonance With Motion Compensated L1-SPIRIT”,05 May 2021,https://doi.org/10.1002/jmri.27658
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Breast,Feasibility of Velocity-Selective Arterial Spin Labeling in Breast Cancer Patients for Noncontrast-Enhanced Perfusion Imaging,13 June 2021,https://doi.org/10.1002/jmri.27781
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Feasibility of Velocity-Selective Arterial Spin Labelling in Breast Cancer Patients for Non-contrast Enhanced Perfusion Imaging”,17 July 2021,https://doi.org/10.1002/jmri.27845
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Musculoskeletal,Quantitative 3D Ultrashort Echo Time Magnetization Transfer Imaging for Evaluation of Knee Cartilage Degeneration In Vivo,24 April 2021,https://doi.org/10.1002/jmri.27659
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Musculoskeletal,Prediction of High-Risk Cytogenetic Status in Multiple Myeloma Based on Magnetic Resonance Imaging: Utility of Radiomics and Comparison of Machine Learning Methods,12 May 2021,https://doi.org/10.1002/jmri.27637
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Prediction of High-Risk Cytogenetics Status in Multiple Myeloma Based on Magnetic Resonance Imaging: Utility of Radiomics and Comparison of Machine Learning Methods”,22 May 2021,https://doi.org/10.1002/jmri.27730
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Musculoskeletal,Radiomics Nomograms Based on Non-enhanced MRI and Clinical Risk Factors for the Differentiation of Chondrosarcoma from Enchondroma,05 May 2021,https://doi.org/10.1002/jmri.27690
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Radiomics Nomograms Based on Non-enhanced MRI and Clinical Risk Factors for the Differentiation of Chondrosarcoma from Enchondroma”,06 May 2021,https://doi.org/10.1002/jmri.27670
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Head and Neck,Quantity and Morphology of Perivascular Spaces: Associations With Vascular Risk Factors and Cerebral Small Vessel Disease,17 May 2021,https://doi.org/10.1002/jmri.27702
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Head and Neck,Altered Functional Connectivity of Hippocampal Subfields in Poststroke Dementia,18 May 2021,https://doi.org/10.1002/jmri.27691
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Original Research: Physics,Data Quality Assessment for Super-Resolution Fetal Brain MR Imaging: A Retrospective 1.5 T Study,05 May 2021,https://doi.org/10.1002/jmri.27665
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Editorial,Editorial for “Data Quality Assessment for Super-Resolution Fetal Brain MR Imaging: A Retrospective 1.5 T Study”,13 May 2021,https://doi.org/10.1002/jmri.27699
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Commentary,Xenon MRI for Future Assessment of Lung Function and Treatment Response: A Commentary,24 May 2021,https://doi.org/10.1002/jmri.27737
" Journal of Magnetic Resonance Imaging: Vol 54, No 4",Letter to the Editor,Growing Evidence for the Use of an Abbreviated Magnetic Resonance Imaging Protocol in the Surveillance of Pancreatic Intraductal Papillary Mucinous Neoplasms,13 June 2021,https://doi.org/10.1002/jmri.27779
