Journal,Category,Title,First Published,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “MRI measures of murine liver fibrosis”,01 June 2021,https://doi.org/10.1002/jmri.27698
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Abdomen,Intravoxel Incoherent Motion and Dynamic Contrast-Enhanced Magnetic Resonance Imaging to Early Detect Tissue Injury and Microcirculation Alteration in Hepatic Injury Induced by Intestinal Ischemia–Reperfusion in a Rat Model,21 March 2021,https://doi.org/10.1002/jmri.27604
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Using Intravoxel Incoherent Motion and Dynamic Contrast-Enhanced MR Imaging to Early Detect Tissue Injury and Microcirculation Alteration in Hepatic Injury Induced by Intestinal Ischemia Reperfusion in the Rat Model”,13 April 2021,https://doi.org/10.1002/jmri.27642
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Vascular,Diagnostic Performance of a Lower-dose Contrast-Enhanced 4D Dynamic MR Angiography of the Lower Extremities at 3 T Using Multisegmental Time-Resolved Maximum Intensity Projections,07 April 2021,https://doi.org/10.1002/jmri.27631
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Diagnostic Performance of a Lower-Dose Contrast Enhanced 4D Dynamic MR Angiography of the Lower Extremities at 3 T Using Multi-Segmental Time Resolved Maximum Intensity Projections”,06 May 2021,https://doi.org/10.1002/jmri.27663
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Cardiac,Using Deep Learning to Emulate the Use of an External Contrast Agent in Cardiovascular 4D Flow MRI,25 February 2021,https://doi.org/10.1002/jmri.27578
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Cardiac,Sensitivity of Myocardial Radiomic Features to Imaging Parameters in Cardiac MR Imaging,01 March 2021,https://doi.org/10.1002/jmri.27581
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Cardiac,Reducing Contrast Agent Dose in Cardiovascular MR Angiography with Deep Learning,22 February 2021,https://doi.org/10.1002/jmri.27573
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial For “Reduction of Contrast Agent Dose in Cardiovascular MR Angiography Using Deep Learning”,26 March 2021,https://doi.org/10.1002/jmri.27618
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Cardiac,Myocardial Deformation Assessed by MR Feature Tracking in Groups of Patients With Ischemic Heart Disease,04 March 2021,https://doi.org/10.1002/jmri.27588
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Myocardial Deformation Assessed by MR Feature Tracking in Groups of Patients With Ischemic Heart Disease”,05 May 2021,https://doi.org/10.1002/jmri.27666
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Pediatrics,Image Quality Assessment of Fetal Brain MRI Using Multi-Instance Deep Learning Methods,23 April 2021,https://doi.org/10.1002/jmri.27649
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Image Quality Assessment of Fetal Brain MRI Using Multi-Instance Deep Learning Methods”,01 June 2021,https://doi.org/10.1002/jmri.27759
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Musculoskeletal,"Magnetic Resonance T2* Is Increased in Patients With Early-Stage Achilles and Patellar Tendinopathy
                  ",14 March 2021,https://doi.org/10.1002/jmri.27600
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Musculoskeletal,Effects of the Competitive Season and Off-Season on Knee Articular Cartilage in Collegiate Basketball Players Using Quantitative MRI: A Multicenter Study,24 March 2021,https://doi.org/10.1002/jmri.27610
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Effects of the Competitive Season and Off Season on Knee Articular Cartilage in Collegiate Basketball Players Using Quantitative MRI: A Multi-Center Study”,29 March 2021,https://doi.org/10.1002/jmri.27624
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Head and Neck,Differences in Radiomics Signatures Between Patients with Early and Advanced T-Stage Nasopharyngeal Carcinoma Facilitate Prognostication,08 April 2021,https://doi.org/10.1002/jmri.27633
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,"Whole Brain Adiabatic T1rho and Relaxation Along a Fictitious Field Imaging in Healthy Volunteers and Patients With Multiple Sclerosis: Initial Findings
                  ",06 March 2021,https://doi.org/10.1002/jmri.27586
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,Deep Learning for Automatic Differential Diagnosis of Primary Central Nervous System Lymphoma and Glioblastoma: Multi-Parametric Magnetic Resonance Imaging Based Convolutional Neural Network Model,11 March 2021,https://doi.org/10.1002/jmri.27592
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,"Pseudo-Enhancement in Intracranial Aneurysms on Black-Blood MRI: Effects of Flow Rate, Spatial Resolution, and Additional Flow Suppression",10 March 2021,https://doi.org/10.1002/jmri.27587
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,"Editorial for “Pseudo-Enhancement in Intracranial Aneurysms on Black Blood MRI: Effects of Flow Rate, Spatial Resolution, and Additional Flow Suppression”",04 April 2021,https://doi.org/10.1002/jmri.27627
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,"MRI Findings of Arachnoiditis, Revisited. Is Classification Possible?",28 February 2021,https://doi.org/10.1002/jmri.27583
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,"Editorial for “MRI Findings of Arachnoiditis, Revisited. Is Classification Needed?”",13 March 2021,https://doi.org/10.1002/jmri.27597
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,"A Prospective, Longitudinal Magnetic Resonance Imaging Evaluation of Cerebrovascular Reactivity and Infarct Development in Patients With Intracranial Stenosis",24 March 2021,https://doi.org/10.1002/jmri.27605
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Cerebrovascular Reactivity Timing and Stroke Risk in Patients With Intracranial Stenosis”,20 April 2021,https://doi.org/10.1002/jmri.27647
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,Neuroimaging Phenotyping and Assessment of Structural-Metabolic-Electrophysiological Alterations in the Temporal Neocortex of Focal Cortical Dysplasia IIIa,23 April 2021,https://doi.org/10.1002/jmri.27615
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Neuroimaging Phenotyping and Structural-Metabolic-Epileptogenic Correlations in the Temporal Neocortex of Focal Cortical Dysplasia IIIa”,22 April 2021,https://doi.org/10.1002/jmri.27644
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,Can Hybrid Arterial Spin Labeling-Tagged Zero-Echo-Time Magnetic Resonance Angiography Be an Effective Candidate in the Evaluation of Intracranial Artery Diseases? A Clinical Feasibility Study,20 May 2021,https://doi.org/10.1002/jmri.27629
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Can Hybrid Arterial Spin Labeling-Tagged Zero-Echo-Time Magnetic Resonance Angiography Be an Effective Candidate in the Evaluation of Intracranial Artery Diseases? A Clinical Feasibility Study”,08 May 2021,https://doi.org/10.1002/jmri.27671
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Neuro,Small-World Networks and Their Relationship With Hippocampal Glutamine/Glutamate Concentration in Healthy Adults With Varying Genetic Risk for Alzheimer's Disease,03 May 2021,https://doi.org/10.1002/jmri.27632
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Small-World Networks and Their Relationship With Hippocampal Glutamine/Glutamate (Glx) Concentration in Healthy Adults With Varying Genetic Risk for Alzheimer's Disease”,14 June 2021,https://doi.org/10.1002/jmri.27773
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Thoracic,"Regional Gas Exchange Measured by 129Xe Magnetic Resonance Imaging Before and After Combination Bronchodilators Treatment in Chronic Obstructive Pulmonary Disease
                  ",07 May 2021,https://doi.org/10.1002/jmri.27662
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Pelvis,Voxel-level Classification of Prostate Cancer on Magnetic Resonance Imaging: Improving Accuracy Using Four-Compartment Restriction Spectrum Imaging,31 March 2021,https://doi.org/10.1002/jmri.27623
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Voxel-level Classification of Prostate Cancer on MRI: Improving Accuracy Using Four-Compartment Restriction Spectrum Imaging”,21 April 2021,https://doi.org/10.1002/jmri.27646
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Pelvis,Machine Learning-Based Integration of Prognostic Magnetic Resonance Imaging Biomarkers for Myometrial Invasion Stratification in Endometrial Cancer,01 April 2021,https://doi.org/10.1002/jmri.27625
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Machine Learning-Based Integration of Prognostic MR Imaging Biomarkers for Myometrial Invasion Stratification in Endometrial Cancer”,30 May 2021,https://doi.org/10.1002/jmri.27750
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Technical,Modified Diffusion Tensor Image Processing Pipeline for Archived Studies of Patients With Leukoencephalopathy,15 April 2021,https://doi.org/10.1002/jmri.27636
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Technical,Prospective Evaluation of Repeatability and Robustness of Radiomic Descriptors in Healthy Brain Tissue Regions In Vivo Across Systematic Variations in T2-Weighted Magnetic Resonance Imaging Acquisition Parameters,16 April 2021,https://doi.org/10.1002/jmri.27635
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Editorial,Editorial for “Prospective Evaluation of Repeatability and Reproducibility of Radiomic Descriptors in Healthy Brain Tissue Regions in Vivo Across Systematic Variations in T2-Weighted MRI Acquisition Parameters”,03 May 2021,https://doi.org/10.1002/jmri.27652
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Original Research: Case Report: Technical,Condensation Artifact,23 April 2021,https://doi.org/10.1002/jmri.27634
" Journal of Magnetic Resonance Imaging: Vol 54, No 3",Reviewer Appreciation,Reviewer Acknowledgements,11 August 2021,https://doi.org/10.1002/jmri.27838
