Journal,Category,Title,First Published,DOI
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,"Distortion-free, high-isotropic-resolution diffusion MRI with gSlider BUDA-EPI and multicoil dynamic B0 shimming",10 March 2021,https://doi.org/10.1002/mrm.28748
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Highly accelerated free-breathing real-time phase contrast cardiovascular MRI via complex-difference deep learning,15 March 2021,https://doi.org/10.1002/mrm.28750
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Aliasing layers for processing parallel imaging and EPI ghost artifacts efficiently in convolutional neural networks,14 March 2021,https://doi.org/10.1002/mrm.28758
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,qModeL: A plug-and-play model-based reconstruction for highly accelerated multi-shot diffusion MRI using learned priors,24 March 2021,https://doi.org/10.1002/mrm.28756
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Strategies to improve intratrain prospective motion correction for turbo spin-echo sequences with constant flip angles,16 March 2021,https://doi.org/10.1002/mrm.28763
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,A multi-inversion multi-echo spin and gradient echo echo planar imaging sequence with low image distortion for rapid quantitative parameter mapping and synthetic image contrasts,25 March 2021,https://doi.org/10.1002/mrm.28761
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Ultrashort echo time Cones double echo steady state (UTE-Cones-DESS) for rapid morphological imaging of short T2 tissues,23 March 2021,https://doi.org/10.1002/mrm.28769
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Whole-brain amide CEST imaging at 3T with a steady-state radial MRI acquisition,27 March 2021,https://doi.org/10.1002/mrm.28770
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,Removal of off-resonance xenon gas artifacts in pulmonary gas-transfer MRI,04 March 2021,https://doi.org/10.1002/mrm.28737
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,Aliasing artifact reduction in spiral real-time MRI,16 March 2021,https://doi.org/10.1002/mrm.28746
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,Motion-insensitive diffusion imaging of the brain using optical tracking and dynamic sequence updates,15 March 2021,https://doi.org/10.1002/mrm.28747
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,PVP-coated Gd-grafted nanodiamonds as a novel and potentially safer contrast agent for in vivo MRI,16 March 2021,https://doi.org/10.1002/mrm.28762
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,Preliminary demonstration of in vivo quasi-steady-state CEST postprocessing—Correction of saturation time and relaxation delay for robust quantification of tumor MT and APT effects,15 March 2021,https://doi.org/10.1002/mrm.28764
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,"Artifact reduction in free-breathing, free-running myocardial perfusion imaging with interleaved non-selective RF excitations",25 March 2021,https://doi.org/10.1002/mrm.28765
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—IMAGING METHODOLOGY,Dynamic MRI of the abdomen using parallel non-Cartesian convolutional recurrent neural networks,21 March 2021,https://doi.org/10.1002/mrm.28774
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—PRECLINICAL AND CLINICAL IMAGING,Can R2’ mapping evaluate hypoxia in renal ischemia reperfusion injury quantitatively? An experimental study,16 March 2021,https://doi.org/10.1002/mrm.28696
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—PRECLINICAL AND CLINICAL IMAGING,Diffusion-prepared fast spin echo for artifact-free spinal cord imaging,15 March 2021,https://doi.org/10.1002/mrm.28751
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—PRECLINICAL AND CLINICAL IMAGING,Investigating plasma volume expanders as novel macromolecular MRI-CEST contrast agents for tumor contrast-enhanced imaging,25 March 2021,https://doi.org/10.1002/mrm.28778
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—PRECLINICAL AND CLINICAL IMAGING,Simultaneous proteoglycans and hypoxia mapping of chondrosarcoma environment by frequency selective CEST MRI,27 March 2021,https://doi.org/10.1002/mrm.28781
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTE—PRECLINICAL AND CLINICAL IMAGING,Calibration of T2 oximetry MRI for subjects with sickle cell disease,14 March 2021,https://doi.org/10.1002/mrm.28757
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—BIOPHYSICS AND BASIC MIOMEDICAL RESEARCH,A simulation study of cell size and volume fraction mapping for tissue with two underlying cell populations using diffusion-weighted MRI,28 February 2021,https://doi.org/10.1002/mrm.28694
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—BIOPHYSICS AND BASIC MIOMEDICAL RESEARCH,Parsimonious modeling of skeletal muscle perfusion: Connecting the stretched exponential and fractional Fickian diffusion,16 March 2021,https://doi.org/10.1002/mrm.28766
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTE—BIOPHYSICS AND BASIC MIOMEDICAL RESEARCH,Superoxide free radical spin-lattice relaxivity: A quench-assisted MR study,23 March 2021,https://doi.org/10.1002/mrm.28722
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTE—BIOPHYSICS AND BASIC MIOMEDICAL RESEARCH,Synchrotron X-ray micro-CT as a validation dataset for diffusion MRI in whole mouse brain,25 March 2021,https://doi.org/10.1002/mrm.28776
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—COMPUTER PROCESSING AND MODELING,MC2-Net: motion correction network for multi-contrast brain MRI,15 March 2021,https://doi.org/10.1002/mrm.28719
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—COMPUTER PROCESSING AND MODELING,Analysis of deep complex-valued convolutional neural networks for MRI reconstruction and phase-focused applications,16 March 2021,https://doi.org/10.1002/mrm.28733
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—COMPUTER PROCESSING AND MODELING,A Bayesian approach to diffusional kurtosis imaging,25 March 2021,https://doi.org/10.1002/mrm.28741
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—COMPUTER PROCESSING AND MODELING,Automated renal segmentation in healthy and chronic kidney disease subjects using a convolutional neural network,23 March 2021,https://doi.org/10.1002/mrm.28768
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTE—COMPUTER PROCESSING AND MODELING,A theoretical framework for retrospective  correction to the arterial input function in quantitative myocardial perfusion MRI,24 March 2021,https://doi.org/10.1002/mrm.28760
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPER—HARDWARE AND INSTRUMENTATION,A perfusion phantom for ASL MRI based on impinging jets,27 March 2021,https://doi.org/10.1002/mrm.28697
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—HARDWARE AND INSTRUMENTATION,Quantitative anatomy mimicking slice phantoms,19 March 2021,https://doi.org/10.1002/mrm.28740
" Magnetic Resonance in Medicine: Vol 86, No 2",TECHNICAL NOTES—HARDWARE AND INSTRUMENTATION,Improved whole-brain SNR with an integrated high-permittivity material in a head array at 7T,23 March 2021,https://doi.org/10.1002/mrm.28780
