Journal,Category,Title,First Published,DOI
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,"Fast 3D MR elastography of the whole brain using spiral staircase: Data acquisition, image reconstruction, and joint deblurring",07 June 2021,https://doi.org/10.1002/mrm.28855
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Mapping prostatic microscopic anisotropy using linear and spherical b-tensor encoding: A preliminary study,31 May 2021,https://doi.org/10.1002/mrm.28856
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Slice encoding for the reduction of outflow signal artifacts in cine balanced SSFP imaging,31 May 2021,https://doi.org/10.1002/mrm.28858
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,"Joint multi-field T1 quantification for fast field-cycling MRI
               ",10 June 2021,https://doi.org/10.1002/mrm.28857
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,"Efficient T2 mapping with blip-up/down EPI and gSlider-SMS (T2-BUDA-gSlider)
               ",28 May 2021,https://doi.org/10.1002/mrm.28872
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,BOLD sensitivity and vessel size specificity along CPMG and GRASE echo trains,31 May 2021,https://doi.org/10.1002/mrm.28871
" Magnetic Resonance in Medicine: Vol 86, No 4",TECHNICAL NOTES—IMAGING METHODOLOGY,"Improving phase-based conductivity reconstruction by means of deep learning–based denoising of  phase data for 3T MRI
               ",05 May 2021,https://doi.org/10.1002/mrm.28826
" Magnetic Resonance in Medicine: Vol 86, No 4",TECHNICAL NOTES—IMAGING METHODOLOGY,Suppression of artifact-generating echoes in cine DENSE using deep learning,22 May 2021,https://doi.org/10.1002/mrm.28832
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—PRECLINICAL AND CLINICAL IMAGING,A kinematic model-based analysis framework for 3D Cine-DENSE—validation with an axially compressed gel phantom and application in sheep before and after antero-apical myocardial infarction,06 June 2021,https://doi.org/10.1002/mrm.28775
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—PRECLINICAL AND CLINICAL IMAGING,"The LEGATOS technique: A new tissue-validated dynamic contrast-enhanced MRI method for whole-brain, high-spatial resolution parametric mapping",15 May 2021,https://doi.org/10.1002/mrm.28842
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—PRECLINICAL AND CLINICAL IMAGING,Spinal cord fMRI with MB-SWIFT for assessing epidural spinal cord stimulation in rats,18 May 2021,https://doi.org/10.1002/mrm.28844
" Magnetic Resonance in Medicine: Vol 86, No 4",TECHNICAL NOTE—PRECLINICAL AND CLINICAL IMAGING,Effective bowel motion reduction in mouse abdominal MRI using hyoscine butylbromide,12 May 2021,https://doi.org/10.1002/mrm.28824
" Magnetic Resonance in Medicine: Vol 86, No 4",TECHNICAL NOTE—BIOPHYSICS AND BASIC BIOMEDICAL RESEARCH,Radiofrequency-induced heating of broken and abandoned implant leads during magnetic resonance examinations,03 June 2021,https://doi.org/10.1002/mrm.28836
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,Multiecho complex total field inversion method (mcTFI) for improved signal modeling in quantitative susceptibility mapping,24 May 2021,https://doi.org/10.1002/mrm.28814
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,Deep learning-based cardiac cine segmentation: Transfer learning application to 7T ultrahigh-field MRI,18 May 2021,https://doi.org/10.1002/mrm.28822
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,"A model-based framework for correcting  inhomogeneity effects in magnetization transfer saturation and inhomogeneous magnetization transfer saturation maps
               ",06 May 2021,https://doi.org/10.1002/mrm.28831
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,"Examination of optimized protocols for pCASL: Sensitivity to macrovascular contamination, flow dispersion, and prolonged arterial transit time",19 May 2021,https://doi.org/10.1002/mrm.28839
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,Multi-echo gradient-recalled-echo phase unwrapping using a Nyquist sampled virtual echo train in the presence of high-field gradients,24 May 2021,https://doi.org/10.1002/mrm.28841
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,"Sparse precontrast T1 mapping for high-resolution whole-brain DCE-MRI
               ",25 May 2021,https://doi.org/10.1002/mrm.28849
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—COMPUTER PROCESSING AND MODELING,Improved unsupervised physics-informed deep learning for intravoxel incoherent motion modeling and evaluation in pancreatic cancer patients,09 June 2021,https://doi.org/10.1002/mrm.28852
" Magnetic Resonance in Medicine: Vol 86, No 4",TECHNICAL NOTE—COMPUTER PROCESSING AND MODELING,Asymmetric susceptibility tensor imaging,20 May 2021,https://doi.org/10.1002/mrm.28823
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—HARDWARE AND INSTRUMENTATION,Optimized 64-channel array configurations for accelerated simultaneous multislice acquisitions in 3T cardiac MRI,24 May 2021,https://doi.org/10.1002/mrm.28843
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—HARDWARE AND INSTRUMENTATION,Open birdcage coil for head imaging at 7T,03 June 2021,https://doi.org/10.1002/mrm.28845
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—HARDWARE AND INSTRUMENTATION,Electric field calculation and peripheral nerve stimulation prediction for head and body gradient coils,03 June 2021,https://doi.org/10.1002/mrm.28853
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLE—ESR,Development of an L-band resonator optimized for fast scan EPR imaging of the mouse head,03 May 2021,https://doi.org/10.1002/mrm.28821
